,Compound,Date,Media Outlet,Negative,Neutral,Positive,Tweets Ago
42,0.0,Wed Aug 29 05:46:00 +0000 2018,@CNN,1.0,0.0,0.0,43
43,-0.7003,Wed Aug 29 05:31:12 +0000 2018,@CNN,0.756,0.244,0.0,44
44,0.4939,Wed Aug 29 05:31:08 +0000 2018,@CNN,0.849,0.0,0.151,45
45,-0.7184,Wed Aug 29 05:16:00 +0000 2018,@CNN,0.727,0.273,0.0,46
46,0.0,Wed Aug 29 05:04:36 +0000 2018,@CNN,1.0,0.0,0.0,47
47,-0.5563,Wed Aug 29 05:01:05 +0000 2018,@CNN,0.841,0.159,0.0,48
48,0.0,Wed Aug 29 04:46:00 +0000 2018,@CNN,1.0,0.0,0.0,49
49,0.4215,Wed Aug 29 04:31:01 +0000 2018,@CNN,0.865,0.0,0.135,50
50,0.1027,Wed Aug 29 04:18:20 +0000 2018,@CNN,0.619,0.155,0.227,51
51,0.0,Wed Aug 29 04:16:00 +0000 2018,@CNN,1.0,0.0,0.0,52
52,0.6486,Wed Aug 29 04:02:08 +0000 2018,@CNN,0.741,0.0,0.259,53
53,0.5251,Wed Aug 29 03:57:01 +0000 2018,@CNN,0.855,0.0,0.145,54
54,0.5719,Wed Aug 29 03:56:12 +0000 2018,@CNN,0.791,0.0,0.209,55
55,0.1531,Wed Aug 29 03:55:09 +0000 2018,@CNN,0.685,0.165,0.149,56
56,0.34,Wed Aug 29 03:46:48 +0000 2018,@CNN,0.727,0.105,0.168,57
57,-0.3182,Wed Aug 29 03:46:04 +0000 2018,@CNN,0.901,0.099,0.0,58
58,0.128,Wed Aug 29 03:42:19 +0000 2018,@CNN,0.93,0.0,0.07,59
59,0.0,Wed Aug 29 03:31:05 +0000 2018,@CNN,1.0,0.0,0.0,60
60,0.7906,Wed Aug 29 06:16:00 +0000 2018,@CNN,0.72,0.0,0.28,61
61,-0.8709,Wed Aug 29 06:01:02 +0000 2018,@CNN,0.575,0.425,0.0,62
62,0.0,Wed Aug 29 05:46:00 +0000 2018,@CNN,1.0,0.0,0.0,63
63,-0.7003,Wed Aug 29 05:31:12 +0000 2018,@CNN,0.756,0.244,0.0,64
64,0.4939,Wed Aug 29 05:31:08 +0000 2018,@CNN,0.849,0.0,0.151,65
65,-0.7184,Wed Aug 29 05:16:00 +0000 2018,@CNN,0.727,0.273,0.0,66
66,0.0,Wed Aug 29 05:04:36 +0000 2018,@CNN,1.0,0.0,0.0,67
67,-0.5563,Wed Aug 29 05:01:05 +0000 2018,@CNN,0.841,0.159,0.0,68
68,0.0,Wed Aug 29 04:46:00 +0000 2018,@CNN,1.0,0.0,0.0,69
69,0.4215,Wed Aug 29 04:31:01 +0000 2018,@CNN,0.865,0.0,0.135,70
70,0.1027,Wed Aug 29 04:18:20 +0000 2018,@CNN,0.619,0.155,0.227,71
71,0.0,Wed Aug 29 04:16:00 +0000 2018,@CNN,1.0,0.0,0.0,72
72,0.6486,Wed Aug 29 04:02:08 +0000 2018,@CNN,0.741,0.0,0.259,73
73,0.5251,Wed Aug 29 03:57:01 +0000 2018,@CNN,0.855,0.0,0.145,74
74,0.5719,Wed Aug 29 03:56:12 +0000 2018,@CNN,0.791,0.0,0.209,75
75,0.1531,Wed Aug 29 03:55:09 +0000 2018,@CNN,0.685,0.165,0.149,76
76,0.34,Wed Aug 29 03:46:48 +0000 2018,@CNN,0.727,0.105,0.168,77
77,-0.3182,Wed Aug 29 03:46:04 +0000 2018,@CNN,0.901,0.099,0.0,78
78,0.128,Wed Aug 29 03:42:19 +0000 2018,@CNN,0.93,0.0,0.07,79
79,0.0,Wed Aug 29 03:31:05 +0000 2018,@CNN,1.0,0.0,0.0,80
80,0.7906,Wed Aug 29 06:16:00 +0000 2018,@CNN,0.72,0.0,0.28,81
81,-0.8709,Wed Aug 29 06:01:02 +0000 2018,@CNN,0.575,0.425,0.0,82
